timestamp,x,y,polarity
0,33,39,1
0.000011001,158,145,1
0.00005,88,143,0
0.000055,174,154,0
0.000080001,112,139,1
0.000123,136,171,0
0.000130001,173,90,0
0.000139001,106,140,0
0.000148001,192,79,1
0.000191001,118,149,0
0.000223,191,95,0
0.000223,192,10,1
0.000244,181,130,1
0.000273,189,74,1
0.000283,136,170,0
0.000309,20,39,1
0.000319001,131,35,1
0.000401,144,170,0
0.000422001,18,110,0
0.000424001,110,43,0
0.000448001,151,148,1
0.000490001,98,124,1
0.000502001,186,147,0
0.000514001,100,128,1
0.000639,19,117,0
0.000661001,89,143,0
0.000688,183,97,0
0.000689,158,163,0
0.000693,19,115,0
0.000718001,139,153,1
0.000725001,132,36,0
0.000733,200,24,1
0.000754001,238,81,0
0.00076,123,50,0
0.000838,125,47,1
0.00094,202,6,1
0.00094,179,74,1
0.001004,27,116,0
0.001033,239,157,1
0.001067001,148,168,1
0.00108,89,144,0
0.001174001,207,9,1
0.001222,36,104,1
0.001235001,235,177,0
0.001256,94,143,0
0.001347001,204,14,0
0.001351,143,152,1
0.001397001,199,22,0
0.001534,147,168,0
0.001562,132,162,0
