timestamp,px,py,pz,qx,qy,qz,qw
0.021819287,4.461422921,1.551260059,1.417543982,0.520192138,-0.496512308,0.504802134,-0.477546305
0.026818763,4.461387042,1.551386862,1.417762973,0.520189329,-0.496422523,0.504650828,-0.477802556
0.031819982,4.461521809,1.548558487,1.418155696,0.523945034,-0.491274065,0.508677364,-0.474740702
0.036820664,4.461545785,1.548559341,1.418197656,0.523875012,-0.491405264,0.508712909,-0.474644092
0.04181992,4.46167816,1.548666042,1.41821749,0.523908848,-0.491221948,0.508573688,-0.474945599
0.046819835,4.461636133,1.548587442,1.418267367,0.523886994,-0.491399716,0.508744024,-0.47460326
0.05182023,4.461664753,1.548617544,1.418300157,0.523810959,-0.491509968,0.508680937,-0.474640637
0.056819695,4.461726162,1.548640756,1.418344371,0.523737983,-0.491483082,0.508654385,-0.474777445
0.061819044,4.461757045,1.548674912,1.418423535,0.52359873,-0.491556117,0.508571415,-0.47494428
0.06681905,4.461891721,1.548796954,1.418408588,0.52347808,-0.491393895,0.508321957,-0.475511859
0.071818484,4.462058291,1.548729693,1.418493318,0.523392665,-0.490996131,0.508406431,-0.475926274
0.076818074,4.462101791,1.548770247,1.418522108,0.523290191,-0.490925804,0.508339766,-0.476182647
0.081818836,4.461954455,1.548855816,1.418508721,0.523135681,-0.491370893,0.508234347,-0.476005833
0.086818531,4.461807272,1.551990129,1.41818535,0.520048029,-0.497463177,0.502873356,-0.478747138
0.09181796,4.461766372,1.55207681,1.418365805,0.520212004,-0.49705258,0.502831409,-0.479039433
0.096817311,4.46181443,1.552129418,1.418363983,0.519937253,-0.496950851,0.502966179,-0.479301708
0.101817114,4.46180194,1.552134607,1.418333569,0.520206052,-0.496956939,0.502735547,-0.479245693
0.106816746,4.461860066,1.55223298,1.418329633,0.520147909,-0.496852943,0.502676898,-0.479478093
0.111816503,4.461893423,1.552289971,1.418402568,0.520144731,-0.497118529,0.502387986,-0.479509061
0.116816343,4.46193578,1.5522813,1.418399844,0.520197971,-0.496737552,0.502695279,-0.479524068
0.12181596,4.462143758,1.552235786,1.418401569,0.519255833,-0.496623742,0.503705745,-0.479602712
0.126815536,4.462206543,1.552240797,1.418405264,0.519456568,-0.496448477,0.503911766,-0.479350306
0.131816013,4.462284434,1.552249515,1.41839337,0.519563535,-0.496276858,0.50407897,-0.479236272
0.13681593,4.462115111,1.552462994,1.418267497,0.520229015,-0.496864738,0.502702255,-0.479351277
0.141815745,4.462265736,1.551873067,1.418337712,0.520263226,-0.495728127,0.503445958,-0.479710295
0.146815177,4.462490047,1.551954667,1.418169998,0.519286814,-0.494963014,0.50482399,-0.480109944
0.151815707,4.46265078,1.549741745,1.418753281,0.523801785,-0.491033985,0.507957949,-0.475915997
0.156815522,4.462667332,1.549824112,1.418776098,0.523926025,-0.490926897,0.508123081,-0.475713397
0.161815064,4.462617311,1.549845112,1.418815917,0.523886746,-0.491084082,0.508420903,-0.475276012
0.166815257,4.462652369,1.549896317,1.41882409,0.523974377,-0.490900825,0.508638774,-0.475135591
0.17181485,4.462673976,1.549964624,1.418839386,0.524025103,-0.490762746,0.508833298,-0.475013993
0.176814343,4.462797052,1.550068585,1.418903453,0.524240882,-0.490256654,0.508921413,-0.475204067
0.181814756,4.462822828,1.550145702,1.418930828,0.52440444,-0.489984389,0.509215984,-0.474988803
0.186814639,4.462744851,1.550118222,1.41896499,0.524436587,-0.490110304,0.509511849,-0.474505882
0.191814087,4.462796731,1.550155577,1.418955583,0.52454544,-0.489903031,0.509598942,-0.474506079
0.196813972,4.462764294,1.550240709,1.41900787,0.524492506,-0.489528614,0.510073657,-0.474440946
0.201813638,4.462852891,1.550261585,1.418977181,0.524643195,-0.489736565,0.509692849,-0.47446898
0.206813248,4.462862068,1.550275655,1.418998984,0.524768241,-0.489741416,0.509678737,-0.474340831
0.211812888,4.462887314,1.55037176,1.419006818,0.524682497,-0.489461494,0.509890967,-0.474496496
0.21681258,4.462911358,1.55035601,1.419012199,0.524793554,-0.489872647,0.509447794,-0.474425401
0.221812118,4.462960898,1.550383818,1.418960823,0.524851279,-0.489917974,0.509324261,-0.474447375
0.226811507,4.462987298,1.550420019,1.418966289,0.524800503,-0.489995127,0.509196967,-0.474560487
0.231811119,4.463032962,1.550471336,1.418948263,0.524799256,-0.490142969,0.508962506,-0.474660698
0.23681081,4.463072393,1.550497099,1.418928522,0.524826722,-0.4901784,0.508747753,-0.474823937
0.241810678,4.46306947,1.550499208,1.418929408,0.524919469,-0.490272911,0.508637908,-0.474741511
0.246810263,4.463084167,1.550543979,1.418934718,0.524912507,-0.490353753,0.508528064,-0.474783387
0.25181043,4.463102722,1.550587938,1.418968115,0.524941326,-0.490390976,0.508467653,-0.474777781
0.256809814,4.463099271,1.55060721,1.418981216,0.524990258,-0.490489416,0.508356513,-0.474741
0.261809584,4.463098559,1.55061361,1.418996715,0.524967817,-0.490400031,0.508413736,-0.474796876
0.266808612,4.463085781,1.550630659,1.419022907,0.524917405,-0.490414367,0.508415941,-0.474835443
