Installation month,ECO,Cashback,Green Deal Finance Plans,Green Deal Home Improvement Fund ,Green Deal Communities,Total number of measures installed
01/01/2013,14430,0,0,,,14430
01/02/2013,18595,96,0,,,18691
01/03/2013,21244,136,0,,,21380
01/04/2013,27812,110,0,,,27922
01/05/2013,33044,145,0,,,33189
01/06/2013,33769,3337,5,,,37111
01/07/2013,43441,1266,7,,,44714
01/08/2013,49575,1158,133,,,50866
01/09/2013,58514,1012,170,,,59696
01/10/2013,71772,844,526,,,73142
01/11/2013,81445,787,471,,,82703
01/12/2013,66129,472,433,,,67034
01/01/2014,74056,498,277,,,74831
01/02/2014,76453,677,311,,,77441
01/03/2014,97936,1069,265,0,,99270
01/04/2014,57365,945,385,22,0,58717
01/05/2014,58703,973,482,73,0,60231
01/06/2014,53334,1934,391,675,1,56335
01/07/2014,54198,157,562,4431,129,59477
01/08/2014,48458,60,625,4129,12,53284
01/09/2014,59678,20,1053,2664,115,63530
01/10/2014,64132,0,1158,2449,101,67840
01/11/2014,58393,,1128,2287,137,61945
01/12/2014,47603,,909,1577,218,50307
01/01/2015,45506,,890,1780,173,48349
01/02/2015,42500,,931,1307,316,45054
01/03/2015,50439,,1181,1732,542,53894
01/04/2015,29048,,1201,1808,490,32547
01/05/2015,29756,,1342,2447,755,34300
01/06/2015,32897,,1685,3041,791,38414
01/07/2015,30995,,1765,2384,729,35873
01/08/2015,27125,,1195,2369,808,31497
01/09/2015,31595,,708,2665,790,35758
01/10/2015,30375,,224,1970,922,33491
01/11/2015,33228,,124,976,1052,35380
01/12/2015,27094,,0,247,1802,29143
01/01/2016,30974,,17,266,758,32015
01/02/2016,36642,,35,166,1128,37971
01/03/2016,42292,,72,116,1461,43941
01/04/2016,38579,,10,10,972,39571
01/05/2016,39644,,5,2,757,40408
01/06/2016,33476,,0,0,619,34095
01/07/2016,27133,,0,,829,27962
01/08/2016,24105,,0,,588,24693
01/09/2016,21248,,0,,822,22070
01/10/2016,21415,,0,,32,21447
01/11/2016,25119,,1,,52,25172
01/12/2016,18380,,0,,,18380
01/01/2017,20539,,0,,,20539
01/02/2017,19856,,0,,,19856
01/03/2017,30069,,0,,,30069
01/04/2017,6376,,0,,,6376
01/05/2017,12232,,0,,,12232
01/06/2017,14204,,7,,,14211
01/07/2017,15041,,6,,,15047
01/08/2017,15889,,8,,,15897
01/09/2017,16088,,6,,,16094
01/10/2017,18291,,9,,,18300
01/11/2017,18586,,7,,,18593
01/12/2017,14310,,16,,,14326
01/01/2018,17765,,15,,,17780
01/02/2018,18527,,5,,,18532
01/03/2018,21783,,0,,,21783
01/04/2018,20504,,3,,,20507
01/05/2018,22932,,0,,,22932
01/06/2018,22550,,0,,,22550
01/07/2018,19928,,0,,,19928
01/08/2018,22119,,1,,,22120
01/09/2018,29592,,1,,,29593
01/10/2018,2871,,4,,,2875
01/11/2018,7616,,0,,,7616
01/12/2018,5610,,0,,,5610
01/01/2019,11114,,0,,,11114
01/02/2019,12356,,2,,,12358
01/03/2019,13898,,1,,,13899
01/04/2019,13569,,0,,,13569
01/05/2019,14626,,0,,,14626
01/06/2019,15967,,1,,,15968
01/07/2019,18183,,0,,,18183
01/08/2019,18700,,0,,,18700
01/09/2019,21230,,0,,,21230
01/10/2019,25663,,0,,,25663
01/11/2019,25774,,0,,,25774
01/12/2019,28251,,0,,,28251
01/01/2020,18109,,0,,,18109
01/02/2020,22883,,0,,,22883
01/03/2020,24377,,0,,,24377
01/04/2020,10532,,0,,,10532
01/05/2020,11720,,0,,,11720
01/06/2020,27167,,0,,,27167
01/07/2020,25747,,0,,,25747
01/08/2020,30434,,0,,,30434
01/09/2020,36675,,0,,,36675
01/10/2020,39903,,0,,,39903
01/11/2020,40585,,0,,,40585
01/12/2020,34013,,0,,,34013
01/01/2021,37018,,0,,,37018
01/02/2021,38888,,0,,,38888
01/03/2021,46196,,0,,,46196
01/04/2021,43310,,0,,,43310
01/05/2021,40720,,0,,,40720
01/06/2021,55399,,0,,,55399
01/07/2021,13048,,0,,,13048
01/08/2021,18669,,0,,,18669
01/09/2021,24925,,0,,,24925
01/10/2021,26019,,0,,,26019
01/11/2021,30759,,0,,,30759
01/12/2021,23477,,0,,,23477
01/01/2022,27794,,0,,,27794
01/02/2022,26542,,0,,,26542
01/03/2022,35724,,0,,,35724
