LMK_KEY,IMPROVEMENT_ITEM,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,IMPROVEMENT_ID,IMPROVEMENT_ID_TEXT,INDICATIVE_COST
1260990659262016052522461581458496,1,,,5,Increase loft insulation to 270 mm,£100 - £350
1260990659262016052522461581458496,2,,,7,50 mm internal or external wall insulation,"£4,000 - £14,000"
1260990659262016052522461581458496,3,,,57,Suspended floor insulation,"£800 - £1,200"
1260990659262016052522461581458496,4,,,14,Upgrade heating controls,£350 - £450
1260990659262016052522461581458496,5,,,20,Replace boiler with new condensing boiler,"£2,200 - £3,000"
1260990659262016052522461581458496,6,,,50,Flue gas heat recovery device in conjunction with boiler,£400 - £900
1260990659262016052522461581458496,7,,,19,Solar water heating,"£4,000 - £6,000"
1260990659262016052522461581458496,8,,,34,"Solar photovoltaic panels, 2.5 kWp","£5,000 - £8,000"
1260990679802015012716343430152138,1,,,5,Increase loft insulation to 270 mm,£100 - £350
1260990679802015012716343430152138,2,,,7,50 mm internal or external wall insulation,"£4,000 - £14,000"
1260990679802015012716343430152138,3,,,57,Suspended floor insulation,"£800 - £1,200"
1260990679802015012716343430152138,4,,,35,Low energy lighting for all fixed outlets,£15
1260990679802015012716343430152138,5,,,14,Upgrade heating controls,£350 - £450
1260990679802015012716343430152138,6,,,20,Replace boiler with new condensing boiler,"£2,200 - £3,000"
1260990679802015012716343430152138,7,,,19,Solar water heating,"£4,000 - £6,000"
1260990679802015012716343430152138,8,,,34,"Solar photovoltaic panels, 2.5 kWp","£5,000 - £8,000"
1084711582432014020511462978078903,1,,,7,50 mm internal or external wall insulation,"£4,000 - £14,000"
1084711582432014020511462978078903,2,,,47,Floor insulation,"£800 - £1,200"
1084711582432014020511462978078903,3,,,35,Low energy lighting for all fixed outlets,£35
1084711582432014020511462978078903,4,,,14,Upgrade heating controls,£350 - £450
1084711582432014020511462978078903,5,,,19,Solar water heating,"£4,000 - £6,000"
1084711582432014020511462978078903,6,,,34,"Solar photovoltaic panels, 2.5 kWp","£9,000 - £14,000"
1084711582432014020511462978078903,7,,,44,Wind turbine,"£1,500 - £4,000"
540541450312010091522350599900370,1,,,35,Low energy lighting for all fixed outlets,
540541450312010091522350599900370,2,,,19,Solar water heating,
540541450312010091522350599900370,3,,,7,50 mm internal or external wall insulation,
540541450312010091522350599900370,4,,,34,"Solar photovoltaic panels, 2.5 kWp",
540541450312010091522350599900370,5,,,44,Wind turbine,
